Price,Adj Close,Close,High,Low,Open,Volume
Ticker,148070.KS,148070.KS,148070.KS,148070.KS,148070.KS,148070.KS
Date,,,,,,
2012-12-07,87904.8046875,104390.0,104390.0,104160.0,104160.0,181
2012-12-10,87677.453125,104120.0,104275.0,104040.0,104275.0,919
2012-12-11,87677.453125,104120.0,104130.0,104095.0,104110.0,300
2012-12-12,87622.71875,104055.0,104055.0,103990.0,103995.0,114
2012-12-13,87441.6640625,103840.0,104130.0,103820.0,104130.0,475
2012-12-14,87306.9296875,103680.0,103950.0,103680.0,103950.0,96
2012-12-17,87340.625,103720.0,103800.0,103660.0,103790.0,7500
2012-12-18,87121.6796875,103460.0,103665.0,103460.0,103665.0,185
2012-12-20,87104.8359375,103440.0,103500.0,103440.0,103470.0,204
2012-12-21,87197.4609375,103550.0,103560.0,103405.0,103495.0,1253
2012-12-24,87205.8828125,103560.0,103600.0,103500.0,103500.0,321
2012-12-26,86839.578125,103125.0,103235.0,103090.0,103235.0,142
2012-12-27,87045.890625,103370.0,103370.0,103150.0,103175.0,671
2012-12-28,87487.9765625,103895.0,103920.0,103520.0,103520.0,2065
2013-01-02,87201.671875,103555.0,103830.0,103350.0,103830.0,632
2013-01-03,87723.765625,104175.0,104185.0,103555.0,103555.0,199
2013-01-04,87727.9765625,104180.0,104180.0,104030.0,104030.0,58
2013-01-07,87841.6484375,104315.0,104315.0,104150.0,104150.0,372
2013-01-08,88123.7578125,104650.0,104650.0,103320.0,103320.0,252
2013-01-09,88161.640625,104695.0,104695.0,104490.0,104550.0,207
2013-01-10,88334.28125,104900.0,104980.0,104755.0,104785.0,256
2013-01-11,88224.8046875,104770.0,104770.0,104605.0,104605.0,661
2013-01-14,88199.546875,104740.0,105300.0,104630.0,105300.0,171
2013-01-15,88363.7421875,104935.0,104960.0,104725.0,104735.0,217
2013-01-16,88401.6328125,104980.0,104980.0,104980.0,104980.0,1
2013-01-17,88591.109375,105205.0,105425.0,104980.0,104980.0,132
2013-01-18,88426.8984375,105010.0,105020.0,104900.0,105020.0,23
2013-01-21,88485.8359375,105080.0,105160.0,104590.0,104590.0,195
2013-01-22,88485.8359375,105080.0,105080.0,104865.0,104865.0,106
2013-01-23,88376.375,104950.0,105070.0,104825.0,105070.0,86
2013-01-24,88540.578125,105145.0,105145.0,105000.0,105010.0,456
2013-01-25,88595.3203125,105210.0,105210.0,105145.0,105145.0,329
2013-01-28,88603.734375,105220.0,105555.0,104930.0,105555.0,230
2013-01-29,88203.7421875,104745.0,104955.0,104660.0,104955.0,73
2013-01-30,87955.328125,104450.0,104625.0,104375.0,104625.0,871
2013-01-31,88140.5859375,104670.0,104670.0,104410.0,104635.0,57
2013-02-01,87883.7578125,104365.0,104680.0,104245.0,104680.0,27
2013-02-04,87702.71875,104150.0,104280.0,104150.0,104280.0,209
2013-02-05,88186.90625,104725.0,104725.0,104495.0,104495.0,273
2013-02-06,88178.4921875,104715.0,104715.0,104715.0,104715.0,3
